"drug","formulary_drug_cd"
"MENINGOcoccal Vaccine","MENI5I"
"Estrogens Conjugated","ESTR25I"
"mult","MULT5L"
"Clonidine T","CLON2P"
"Mesalamine Desensitization","MESADESEN3"
"Singulair","MONT10"
"as","ASA81"
"Fentanyl Citrate",NULL
"LaMICtal","LAMO25BRAND"
"Pioglitazone","PIOG15"
"Acetic Acid Otic",NULL
"Imatinib","IMAT100"
"Mycophenolate Mofetil Suspension","MYCO750L"
"Xanax",NULL
"Gengraf",NULL
"olan","OLAN5DTB"
"Bactrim","BACTDS"
"brimonidine",NULL
"albute","ALBU5H"
"Isosorbide ","ISMO10"
"Solifenacin","SOLI5"
"artifi","ARTTS"
"PHENObarbital","PB60I"
"Quetiapine Fumarate","QUET25"
"Lactobacillus Acidophilus",NULL
"Lactobacillus Acidophilus-Pectin",NULL
"Budesonide (Nasal)",NULL
"Insulin - Sliding Scale","INSULIN"
"Lidocaine 1% P.f.","LIDO1I"
"Tetracycline HCl","TETR250"
"Prilosec OTC",NULL
"Leuprolide Acetate","LEUP75I"
"Magnesium Sulfate","MAG20/500"
"Metronidazole","METR1G"
"Cefazolin","CEFA5ML"
"Morphine Sulfate SR","MSCO30"
"scopolamine base","SCOP15P"
"Epinephrine Auto Injector","EPIPEN0.3I"
"Menomune","MENI5I"
"ritonavir","RITO100T"
"Bimatoprost",NULL
"Erythromycin","EMYC200L"
"Miconazole Nitrate Vaginal","MICODP"
"Paroxetine Mesylate","PARO10"
"Sodium Bicarbonate","NABC50S"
"lamotrigine","LAMO100BN"
"Nifedipine","ADAL30"
"Albuterol","ALBU3H"
"ProAir HFA","ALBU17H"
"Daunorubicin HCl","DAUNO20I"
"Thrombin","THRO10T"
"*NF* Novolog",NULL
"Phenytoin (Suspension)","PHENY100L"
"Cangrelor Study Drug (*IND*)","CANGIND"
"Acetic Acid",NULL
"NEO*IV*Epoetin Alfa","NEOEPO10I0"
"Lactaid Fast Act",NULL
"NEO*IM*Dt & Acellular Pertussis","DTAP"
"NS Epidural Bag","EPIBAG"
"*NF* Diltiazem SR","DILT60SR"
"Amphotericin B Lipo. (Ambisome)","AMBI50I"
"*NF* Warfarin","WARF5I"
"Neomycin-Polymyxin-Bacitracin","NEOM30O"
"NEO*IV*Oxacillin","NOXAI"
"Atovaquone Suspension","ATOV750S"
"valproic","VAL250L"
"Dolasetron Mesylate I.V.","DOLA12.5I"
"Silver Sulfadiazine 1% Cream","SILV1C"
"Quetiapine","QUET25"
"sevelamer HYDROCHLORIDE","RENV800"
"Levofloxacin","LEVO750PM"
"LaMIVudine","LAMI100"
"Methadone HCl","METH10SY"
"Methylphenidate","RITA5"
"Cipro","CIPR200PM"
"Paroxetine HCl","PARO10"
"Sanctura XR","TROS20"
"Miconazole Powder 2%","MICO2P"
"Asacol","MESA400"
"Venlafaxine ","VENL375"
"Tobramycin Fortified Ophth. Soln.","TOBRFES"
"as","ASA325"
"Methylprednisolone ","METH125I"
"Clonidine TTS 3 Patch","CLON3P"
"multivit","MULT5L"
"rivastigmine","RIVA15"
"Heparin Flush CVL  (100 units/ml) ","HEPF100I"
"Syringe (0.9% Sodium Chloride)","SYRINGENS"
"Glucovance (5mg-500mg)","GLU5/500"
"depak","DIVA125SP"
"0.9% Sodium Chloride","GENTBASE1"
"XIBROM",NULL
"Sirolimus","SIRO1.5L"
"Levobunolol Hcl 0.25%","BETA25D"
"Diltiazem","DILT60SR"
"Peppermint ","PEPP1"
"BusPIRone","BUSP10"
"escitalopram",NULL
"Diltiazem ","DILT60SR"
"Anamorelin HCl vs placebo","ANAMSTUDY"
"Risperidone (Disintegrating Tablet)","RISPM1"
"Calcium Citrate","CALCIT950"
"Albuterol Sulfate-Ipratropium","COMB14.7H"
"Bacitracin-Polymyxin Ointment","POLYEO"
"Botulinum Toxin Type A",NULL
"celecoxib","CELE200"
"Ipratropium Bromide HFA","IPRAPF"
"*NF* Budesonide","BUDE3"
"LaMIVudine-Zidovudine (Combivir)","COMBTAB"
"Testosterone 2.5","TEST25P"
"NEO*IV*AMPicillin Sodium","NAMP500I"
"solifenacin",NULL
"Bactroban","BACT2022G"
"Miconazole Nitrate (Combo Pack)","MICO3SUPP"
"carbidopa","CARB25"
"Methylprednisolone Na Succ","MPRED0"
"Medium Chain Triglycerides","MCT30"
"CONVATEK",NULL
"Digoxin","DIGO125L"
"Everolimus",NULL
"Ola","OLAN5DTB"
"Oxycodone-Acetaminophen","CARA1"
"Protamine Sulfate","PROT250I"
"Cromolyn","CROM200"
"NS Epidural Bag ","EPIBAG"
"Tacrolimus Suspension","TACR1SM"
"Guai","GUAI10"
"Methadone HCl","METD10"
"*nf* Lanolin (Hydrous)",NULL
"Trizivir",NULL
"Vioxx","ROFE25"
"Niaspan Extended-Release","NIAC500SR"
"Zolpidem Tartrate","AMBI5"
"Phenytoin Sodium","PHEN250I"
"thyroid extract SR",NULL
"fenofibrate","FENO145"
"Filgrastim","GCSF480I"
"GlycoLax",NULL
"Isosorbide Mononitr","IMDU60"
"Multivitamins","MULT5L"
"< IND> Zoniporide Study Drug","ZONIIND"
"Humalog","HUM100I"
"1/4 NS","1/4NS1000"
"Fentanyl Patch","FENT25P"
"Droperidol","DROP5I"
"PARoxetine HCl","PARO10L"
"Tylenol MELTAWAYS",NULL
"LaMICtal XR","LAMO100XR"
"Docusate Sodi","DOCU100L"
"CefTAZidime","CEFT2I"
"Triamcinolone Acetonide","KENA40I"
"LoCholest Light (Cholestyramine)",NULL
"Fleet Phospho-Soda","FPS45L"
"Rosuvastatin Calcium","ROSU5"
"Enoxaparin Sodium","ENO3I"
"xal","LATA5OS"
"*NF* Miralax","MIRA17"
"Methadone Hcl","METH10I"
"Tropicamide 1 %","TROP5ES"
"nepafenac",NULL
"Neupro",NULL
"dilantin","PHENY100L"
"Maxalt","RIZA10"
"Insulin","INNHI"
"Valganciclovir HCl","VALGA450"
"Isoniazid","ISON100"
"NEO*PO*Ergocalciferol","ERGONEO"
"Valproic Acid","DIVA500"
"HydrALAZINe","HYDZ20I"
"Chlorthalidone","CHTH25"
"Acular LS",NULL
"Droperidol","DROP5PB"
"Aspirin Desensitization (Angioedema)","ASPIDESEN"
"Propranolol LA","PROP120"
"Paroxetine HCl","PARO20"
"SulfaSALAzine_","SULF500"
"Budesonide (Bulk)","BUDE0.5"
"Colestipol","COLEPWD"
"Pantoprazole","LORA5"
"Hyoscyamine","HYOS.375"
"Levothyroxine","LEVO125"
"Aztreonam","AZTR1I"
"glimepiride","GLIM4"
"bact","BACTDS"
"Lidocaine Jelly 2%","LIDO20L"
"Ketoconazole Shampoo","KETO2SH"
"BuPR","BUPR150"
"Syringe","SYR1ML"
"Bisacodyl","BISA5"
"Sirolimus","SIRO3L"
"NEO*PO*Nystatin Suspension","NEONYST5L"
"Multiple Vitamins Liq.","MULT5L"
"Soln","SOLN"
"Ritonavir","RITO80L"
"NEO*IV*Morphine Sulfate","NEOMOR5"
"Salivart","SPIT"
"Praziquantel","PRAZ600"
"Moexipril","MOEX15"
"Ranitidine (Liquid)","RANI150L"
"Thyroid","THYR180"
"Nifedi","ADAL90"
"Syringe (Intraperitoneal)","SYRIP10I"
"SODIUM","NABC50I"
"Femara","LETR2.5"
"Allopurinol","ALLO300"
"Artificial Saliva",NULL
"Micro-K","MICROK10"
"Unasyn","UNAS3I"
"Metoclopramide HCl","METO10"
"Ranitidine","RANI150L"
"Phenytoin (Suspension)","PHEN100I"
"Ursodiol","URSO300"
"dilantin","PHEN50"
"Dibucaine","DIBU"
"Decitabine","DECI50I"
"Dexa","DEXA2"
"*NF* Dolasetron Mesylate","DOLA12.5I"
"Potassium Chl 20 mEq / 1000 mL NS","KCL20/1000NS"
"D10W","D10W1000"
"Relpax",NULL
"Paromomycin","PARO250"
"Aspirin ","ASA81"
"Aloe Vesta 2-n-1 Skin Cond",NULL
"Morphine Sulfate IR","MOR10L"
"Epinephrine 1:1000","EPIS10I"
"*NF* Iopanoic Acid","IOPA500"
"Dextran 40 10%","DEXT500D5W"
"bactri","BACTSS"
"Procainamide HCl","PROC500SR"
"B-50",NULL
"Albumin 5% (12.5 g)","ALBU25"
"Triamcinolone Acetonide","TRIA10I"
"Albuterol ","ALBU17H"
"Provera","MEDR25"
"Albumin 5% (12.5g)","ALBU5250"
"Protamine Sulfate","PROT50I"
"Cromolyn Sodium (Nasal Inhalation)","CROM40N"
"Divalproex (DELayed Release)","DIVA125"
"Lorazepam","LORA1"
"Afrin","OXYM15"
"FENTANYL","FENT2I"
"Vancomycin Enema","VANC250PR"
"Morphine","MOR10L"
"Morphine Sulfate (Syringe)","MORP4I"
"Acetaminophen (Liquid)","APAP500"
"NEO*PO*Ergocalciferol","NEOERGO20L"
"Propofol (Generic)","ACET650L"
"atomoxitene",NULL
"Desferal","DEFE500IND"
"Clonidine","CLON2P"
"gentian violet",NULL
"traZODONE","TRAZ50"
"Trisodium Citrate 0.4% Replacement Soln","CVVH3556I"
"Folbic",NULL
"Amoxicillin-Clavulanic Acid","AUGM500"
"estradiol",NULL
"Acetaminophen (Childrens)","APAP80R"
"Ketamine","KETA100/50NS"
"LIDOCAI","LIDO5O3.5"
"Lidocaine 1% (Buffered)","LIDO1BUFF"
"Oseltamivir Phosphate","OSEL75"
"Mupirocin Ointment 2%","BACT2022G"
"Calcium Gluconate",NULL
"Taztia XT",NULL
"glimepiride","GLIM1"
"Hepatitis B Immu Glob (HepaGam B)","HEGB1I"
"Sodium Chloride 3% (Hypertonic)","NACL3IRR"
"Hydrocortisone Na Succ.","HC100I"
"*NF* Levetiracetam","LEVE500I"
"Donepezil 5 mg or Placebo","DONEIND"
"lysine 500mg tablets",NULL
"OxycoDONE (Immediate Release) ","OXYCO5L"
"Xylocaine","LIDO45I"
"Risperidone Long Acting Injection","RISP50I"
"Olanzapine","OLAN0.5L"
"Temozolomide",NULL
"Clindamycin","CLIN9000I"
"Halcion",NULL
"Amoxicillin-Clavulanate Desensitization","AUGM50L"
"Gengraf (cyclosporine modified)",NULL
"NS","ESMOB100"
"ropinirole","ROPI1"
"Entocort EC","BUDE3"
"Nefazodon","NEFA150"
"Taclonex",NULL
"0.9% Sodium Chloride","NS250"
"Phenylephrine","PHEN10I"
"Tobramycin Sulfate","TOBR12I"
"ATROVENT","IPRAPF"
"Haloperidol Decanoate","HALD50I"
"Pulmicort Flexhaler",NULL
"Theophylline SR","THEOP125"
"Lopinavir-Ritonavir","KALE200/50"
"Acidophilus",NULL
"Prednisone","PRED10"
"Aspirin 81mg or placbo","ASPI81INDP"
"Cyclosporine (Sandimmune)","CSA100"
"FLUoxetine","PROZ20"
"Influenza Virus","INFV"
"Milrinone","MILR10I"
"Clotrimazole 1% Vaginal Cream","CLOT1VC"
"Micafungin","MICA100I"
"Theophylline (Oral Solution)","THEO80L"
"Trimethobenzamide","TRIM100I"
"Naloxone HCl","NALO1I"
"Eplerenone","EPLE50"
"Heparin Flush CRRT (5000 Units/mL)","HEPA100SYR"
"Mesna","MESNA1I"
"Dextromethorphan-Guaifenesin (Sugar Free)","GUAI10L"
"Albuterol Sulfate/Ipratropium","COMB14.7H"
"Nexium","ESOM20"
"HKI-272",NULL
"Interferon Alfa 2A (INFERGEN)",NULL
"Aggrastat","TRIF12.5I"
"Talc (Sterile)","TALC"
"Adenosine (Diagnostic)",NULL
"Nephramine 2.7%","NEPH2.71000I"
"Lansoprazole Oral Suspension","LANS30L"
"LevoFLOXacin","LEV500"
"Micardis HCT","TELM20"
"Vinblastine Sulfate","VINB10I"
"Ondanse","ONDA8ODT"
"Acetaminophen-Caff-Butalbital","FIOC"
"Sodium Citrate 4%","SODCIT3SYR"
"PreserVision AREDS",NULL
"Lasix","FURO40"
"Concerta","METH36"
"Acetaminophen (Childrens)","ACET100L"
"Pergolide Mesylate","PERG25"
"Unifiber",NULL
"AcetaZOLamide Sodium","ACE500I"
"Nystatin Cream","NYSTC"
"Ny","NYST5L"
"atorvastatin","ATOR40"
"Tretinoin 0.025% Cream","TRET.025C"
"Tacrolimus","TACR0.03O"
"senna","SENN5L"
"Nystatin-Triamcinolone","MYCOC"
"NS (IRRIGATION BOTTLE)","NS1000IBTL"
"Charcoal Aqueous (Activated)","CHARC120L"
"Midazolam HCl",NULL
"Diltiazem Extended-Release","TIAZ120"
"Lorazepam","LORA20I"
"NEO*PO*Zidovudine Syrup","ZDVLIQ"
"Thiothixene","THIX2"
"Lotemax",NULL
"Guaifenesin","GUAI10"
"Ciprofloxacin IV","CIPR200PM"
"tucks","ANUS1O"
"Emtricitabine-Tenofovir (Truvada)","EMTR10L"
"PrismaSol  (B32 K0)","PRISMASOLK32"
"Maxair","PIRB0.2H"
"NEO*IM*DT  & Acellular Pertussis","DTAP"
"WelChol","COLE625"
"Glyburide","GLYN3"
"Celecoxib","CELE100"
"Fenofibrate Nanocrystallized","FENO145"
"Loperamide HCl","LOPE2"
"Nelfinavir Mesylate","NELF250"
"tr","TRIA25"
"NS","NS3000"
"Sulfameth/Trimethoprim","BACTSS"
"Posaconazole","POSA40L"
"Brimonidine",NULL
"Sodium Acetate","NAAC20I"
"*NF* Irbesartan","IRBE150"
"urea","UREA20C"
"Cefpodoxime Proxetil","CEFP100"
"Tylenol-Codeine #3","T3"
"*NF* Diltiazem SR","DILT90SR"
"Olanzapi","OLAN10ODT"
"dilan","PHEN50"
"Liniments","ANAL15C"
"Voltaren-XR","DICL50"
"Prevacid","LANS30ST"
"Rivaroxaban","RIVA10"
"KCl","KCL20I"
"Systane",NULL
"Sodium Chloride 23.4%","SODI4I"
"Sitagliptin","SITA100"
"Effexor XR","VENL75XR"
"Liposyn II  20%","LIPO20200"
"Morphine SR (MS Contin)","MSCO30"
"Fluconazole","NEOFLUCIV"
"Warfarin",NULL
"Lorazepam","LORA5"
"Ex-Lax Maximum Strength",NULL
"HYDROmorphone (Dilaudid)","HYDRO4I"
"Clomipramine HCl","CLOM50"
"Verapamil","VERA40"
"HydrOXYzine","HYDX10"
"Tiotropium Bromide","TIOT"
"Lithium Citrate (Syrup)","LITHI300L"
"Multivi","MULT5L"
"Diovan","VALS80"
"Xyzal",NULL
"Mesalamine ","MESA4R"
"Oxcarbazepine","OXAC150"
"Lidocaine","LIDO0550I"
"Promethazine","PROM25"
"Biaxin","BIAX250"
"Cyanocobalamin",NULL
"Gentamicin Sulfate","GENT01C"
"HumaLOG Insulin","HUMU100I"
"MYCOPHENOLATE MOFETIL 250MG OR PLACEBO CAPSULE","MYCOIND"
"Glycerin (Ped)","GLYC1R"
"moxifloxacin ",NULL
"Blue CADD Cassette","CADDNS250B"
"Granisetron HCl","GRAN1I"
"Povidone Iodine 1/4 Strength","BETAQL"
"mege","MEGE400L"
"NEO*IM*Pneumococcal 7-Valent","PNEU.5I"
"Insulin ","HUMU100I"
"Darunavir 600mg tablet","DARU600IND"
"Kaolin-Pectin","KAOP30"
"Donnatol","DONN162"
"Sulfameth/Trimetho","BACTSS"
"pramipexole","PRAM0.5"
"Ropinirole HCl","ROPI1"
"Paroxetine HCl","PARO10L"
"Cardura","DOXA1"
"cefadroxil",NULL
"Neomycin Sulfate","NEOM500"
"Donepezil","DONE10"
"Amoxicillin-Clavulanate Desensitization","AUGM250"
"Tobramycin","TOBR300H"
"Chloraseptic Throat Spray","CHLO180S"
"Hydroxychloroquine","HYDC200"
"Sulfasalazine","SULF500EC"
"Midazolam HCl","MIDA50I"
"Syringe (Neonatal) *D5W*","NEOSYRD5W50"
"NEO*IV*Phenobarbital","PB30EL"
"Phenytoi","PHEN50"
"Fenofibrate","FENO145"
"Phenytoin","PHENY100L"
"Cyanocobalamin","CYAN100"
"Xopenex",NULL
"Naltrexone",NULL
"Ondansetron","ONDA4"
"Hep","HEPA100SYR"
"Methylpre","MPRED0"
"Dermagran Ointment","DERMON"
"Darunavir","DARU400"
"Levocarnitine","LCARN250"
"Morphine Sulfate IR","MORP15"
"fenofibrate",NULL
"Labetalol HCl","LABE100I"
"ValGANCI","VALG50L"
"Parenteral Nutrition (TPN)","TPN"
"Lidocaine jel","LIDO2/5J"
"Colchicine","COLC1I"
"Acetylcysteine (IV)","ACET6I"
"Sincalide","SINC5I"
"Symlin",NULL
"ValGANCIclovir","VALG50L"
"Voriconazole","VORI200"
"Phenobarbital","PHEN130I"
"Mycophenolate Mofetil","MYCO500T"
"NS","NS500"
"Humalog Mix 75-25 KwikPen",NULL
"Neoral","NEOR100IND"
"Lithium Carbonate","LITH450SA"
"Zidovudine","ZIDO100"
"Trizivir","TRIZTAB"
"Clopidogrel Desensitization","CLOP2.5L"
"Vancomycin","VANC1I"
"Melatonin-Theanine",NULL
"Cyclophosphamide","CYCLOP10L"
"Tretinoin Suspension","TRET40L"
"Nifedipine","NIFE20"
"Aspiri","ASA325"
"Misoprostol","MISO25"
"Drotrecogin Alfa (Xigris)","DROT20I"
"Haloperidol  ","HALD5I"
"Heparin (IABP)","HEPA1000/500"
"Botulinum Toxin Type B","BOTOX"
"Isosorbide Mononitrate (Extended Release)","IMDU30"
"HydrALAZINE","HYDZ20I"
"Bromocriptine Mesylate","BROM25"
"dex","DEXA2"
"Fluoxetine","PROZ20L"
"clo","CLOM25"
"Orabase w/ Benzocaine Paste","ORBE5T"
"Desmopressi","DDAV1N"
"Omeprazole","OMEP40"
"Tipranavir","TIPR250"
"Doripenem *NF*","DORI500I"
"*NF* Argatroban",NULL
"Ziprasidone Mesylate","ZIPR20I"
"demeclocycline","DEME150"
"Tricor","FENO48"
"Fuzeon","ENFU90I"
"Levalbuterol Neb",NULL
"glatiramer","GLAT20I"
"Ceftriaxone","CEFX1F"
"Levemir Flexpen",NULL
"Glyburide","GLYB1.25"
"Hurricaine Spray","HURRSPRAY"
"Bupropion (Sustained Release)","BUPR150"
"Simvastatin","SIMVIND"
"Enoxaparin Sodium","ENOX60I"
"Premarin",NULL
"Iso-Osmotic Sodium Chloride","FLUCBASE"
"Megestro","MEGE400L"
"Lantus Solostar",NULL
"Calcitrate","CALC500"
"Amino Acids 4.25%-Dextrose 5%","CLIN1000I"
"Isosorbide","IMDU60"
"Oxymetazoline HCl","AFRIN3ML"
"MetRONIDAZOLE (FLagyl)","METR500PM"
"Heparin Flush PICC (100 units/ml)","HEPA100SYR"
"Albuterol MDI","ALBU17H"
"Diprosone",NULL
"Penicillin G Potassium","PENGK5I"
"*NF* Caspofungin Acetate","CANC70I"
"NEO*IV*Ceftriaxone","NCEFTI"
"Fluphenazine","FLUP1"
"DiphenhydrAMINE HCl","DIPH125L"
"Methylergonovine Maleate","METE2I"
"cilostazol","CILL50"
"Morphine Sulfate","MORPCONC"
"Sulfameth/Trimethoprim ","BACTSS"
"Tegretol XR","CARB200XR"
"Nepafenac",NULL
"Dolasetron Mesylate","DOLAS100"
"Bactrim Desensitization","BACTDES1"
"Tretinoin ","TRET10C"
"Paxil Cr","PARO25CR"
"Butalbital-Aspirin-Caffeine","FIOR"
"Magnesium Sulfate Replacement (Oncology)","MAG2PM"
"Potassium Chloride","KCL40I"
"Stalevo 150",NULL
"Vancomycin ","VANC500I"
"Dronedarone","DRON400"
"Lopinavir-Ritonavir","KALETRA"
"Methadone","METH40"
"Phenobarbital","PHEN60"
"Clozapine","CLOZ100"
"Albendazole","ALBE200"
"Gaviscon","GAVITAB"
"Lidocaine","LID2J"
"Temodar",NULL
"Methylprednisolone Na Succ","METH125I"
"Heparin Flush CRRT (5000 Units/mL)","HEPA5I"
"Truvada","TRUV200/300"
"Cyanide Antidote","CYAN1KIT"
"Voriconazole","VORI200I"
"Aldara","IMIQ5C"
"Ketamin","KETA5I"
"Morphine Sulfate","MORP50PCA"
"Apriso",NULL
"LaMOTrigine","LAMO25"
"Divalproex Sod. Sprinkles","DIVA125SP"
"Mucinex","GUAI600T"
"*NF* Erlotinib","ERLO150"
"Hepatitis B Immune Globulin (Nabi-HB)","HBIGUD5I"
"Candesartan","CAND4"
"Tamiflu","OSEL75"
"Soln.","SOLN2"
"Vial","VIAL"
"Novolin R","NOVOR100I"
"Atorvastatin","ATOR10"
"Aluminum Hydroxide","ALUMI30L"
"gatifloxacin","GATI0.3O"
"GlyBURIDE","GLYB25"
"0.9% Sodium Chloride","NS1000OXYT"
"LIDOCAINE 1% (W/Presv.)","LIDO120I"
"NEO*PR*Acetaminophen","ACET40"
"Cyclophosphamide","CYCL50"
"Isosorbide Mononitrate","IMDU60"
"Hep","HEP10I"
"Glipizide","GLIP5"
"Aprotinin (Bovine)","APRO200I"
"RisPERDal","RISP05"
"Hepa","HEP10I"
"Vancomycin","VANCOPR"
"Cyclosporine Modified (Neoral)","NEOR25"
"Diphenhydramine HCl","DIPH125L"
"Epinephrine","EPIPEN0.3I"
"NS","NS250"
"Ipratropium Bromide Neb","IPRA2H"
"Miconazole Nitrate (Combo Pack)","MONI7C"
"Glutamine","GLUT10"
"Divalproex (DELayed Release)","VAL250L"
"Ciprofloxacin","CIPR400PM"
"Clotrimazole","CLOT10"
"Arimidex","*NF* ANAS1"
"Viokase 16","VIOK"
"Ciprofloxacin","CIPR50L"
"Etodolac","ETOD200"
"Brilinta","TICA90"
"Sensipar","CINA30"
"Sodium Citrate","CITR30L"
"CeleBREX","CELE200"
"Flovent","FLUT220H"
"Vitamin D","ERGO50"
"bactr","BACT20L"
"Glyburide","GLYB25"
"Gentamicin","GENT80PM"
"Phenytoin ","DILA100"
"Phenytoin chewtabs","PHEN50"
"Acetaminophen","ACET650L"
"Disopyramide Phosphate","DISO150"
"Famotidine (IV)","FAMOT20I"
"Hyoscyamine","LEVS125"
"NEO*PO*Hydrocortisone Sod Succinate","HYDRNEO1L"
"Prazosin HCl","PRAZ2"
"LaMICtal","LAMO100BN"
"Hydrocodone-Acetaminophen","VICODIN"
"Cymbalta","DULO20"
"sodium bicarbonate","NABC50S"
"Mupirocin Calcium","BACT2/15C"
"Gentamicin","GENT80I"
"Phenylephrine  0.5% Nasal Spray","PHEN5N"
"CefazoLIN","CEF1000I"
"Zonalon","DOXE5C"
"Fenofibrate Micronized","FENO48"
"Adderall","ADDE5XR"
"ChlorproPAMIDE","CHPR250"
"Alteplase","ALTE1I"
"maribavir 100 mg or placebo tab","MARIIND"
"Diclofenac Sodium","DICL75"
"Phenobarbital","PB15"
"HYOS","HYOS.375"
"dila","PHEN50"
"Heparin ","HEPA100SYR"
"Flora-Q",NULL
"Lithium Citrate (Syrup)","LITHI150L"
"Epoetin Alfa","NEOEOP4I"
"Zidovudine","ZIDO10L"
"Vancomycin Oral Liquid","VANC250L"
"Phytonadione","PHYT2L"
"Pyrazinamide","PYRA500"
"Teriparatide",NULL
"Bottle, Glass","BTL750I"
"NEO*IM*Palivizumab","PALINEO"
"Aspirin 81 mg /placebo","ASPI81INDP"
"sodi","NABC50S"
"eryth","EMYC200L"
"Artificial Tears","ARTTS"
"Insulin Regular Pork (Iletin II)","INRPI"
"Lisinopril","LISI5"
"Albumin 5% (25 g)","ALBU5500"
"Biafine Emulsion",NULL
"*NF* Risedronate Sodium","RISE35"
"Furosemide","DEX50SY"
"Carbidopa-Levodopa (25-250)","SINE25250"
"Perphenazine","PERP2"
"Thyroid","THYR60"
"Colestid","COLEPWD"
"D5W","D5W1000"
"Phenylephrine 1% Nasal Spray","PHEN1N"
"Rocuronium","ROCU50I"
"Norvir","RITO100"
"Dexametha","DEXA15"
"Dexmedetomidine","DEXM200I"
"Pyridoxine HCl","PYRI50"
"Ethyl Chloride","ETHYT"
"Diphenhydramine Hcl","DIPH25"
"Fluticasone",NULL
"Aldesleukin","ALDE22I"
"Tiazac","TIAZ180"
"Benztropine Mesylate","BENZ1"
"Heparin Flush (10 units/ml)","HEP10UI"
"Fentanyl Citrate","PROP200IG"
"TACROLIMUS",NULL
"Lotrel",NULL
"Oxytocin","OXYT10I"
"Clindamycin Phosphate","CLIN600I"
"Oxycodone","OXYCO5L"
"Stanozolol (Bulk)","STAN2"
"Isosorbide Mononitrate","ISMO20"
"LETROZOLE(FEMARA)",NULL
"Levocarnitine","LCARN330"
"Sodium Chloride 0.45% Flush","NACL0.45FLUSH"
"Lidocaine Jelly 2% (Urojet)","LID2J"
"NEO*IV*Cefazolin","CEFANEO"
"Nystatin","NYST500T"
"Carbachol",NULL
"carafate","CARA1"
"SYMLIN",NULL
"Fosinopril Sodium","FOSI20"
"Miconazole Nitrate Vaginal","MICO3SUPP"
"Tretinoin (ATRA-All Transretinoic Acid)","TRETL"
"Tricor",NULL
"Epoetin Alfa","EPO4I"
"Travatan",NULL
"Nafcillin","NAFC1I"
"Sulfameth/Trimethopri","BACT20L"
"Ezetimibe","EZET10"
"Beconase AQ Nasal Spray",NULL
"Metoprolol Succinate XL","TOPR25"
"Caspofungin","CANC50I"
"Benicar HCT","OLME10"
"Efavirenz","EFAV30L"
"Phenyt","DILA100"
"TMC 125 100mg or Placebo tabs",NULL
"5% Dextrose","D5W50"
"Bosentan",NULL
"Quetiapine Fumarate","QUET25L"
"Esomeprazole Magnesium",NULL
"Doxycycline Monohydrate","DOXY100C"
"Fluconazole","FLUC200"
"Propranolol","PROP1PB"
"Carbidopa-Levodopa CR (50-200)","SINC50200"
"Sodium Chloride","NS10I"
"Ketorolac TroMETHamine",NULL
"Abacavir Oral Solution","ABAC20S"
"Iron Dextran Complex","IRON100I"
"Mechlorethamine","MECH10I"
"GELCLAIR","GELCLAIR"
"Risedronate Sodium",NULL
"Aleve",NULL
"Short Chain Fatty Acid Enema",NULL
"Lialda",NULL
"NPH insulin human recomb",NULL
"fidaxomicin 200mg TAB",NULL
"pramipexole","PRAM1"
"Influenza A (H1N1) Vac 09 (PF)","H1N1VACC"
"Lidocaine 1% P.F.","LIDPF1I"
"Tolterodine","TOLT2"
"Multivitamins","MVI"
"Enoxaparin Sodium","ENOX120I"
"0.9% Sodium Chloride","NS3000"
"VALP","VAL250L"
"carisoprodol","CARI350"
"Revatio (Sildenafil)",NULL
"Ranitidine (Liquid)","RANI150"
"flutamide",NULL
"Asp","ASA81"
"MethylPREDNISolone Sodium Succ","MPREDDESEN"
"wellb","BUPR150"
"Lidocaine 1%/Epinephrine 1:100,000","LIDO/EPI30"
"ZyPREXA Zydis","OLAN5DTB"
"Abilify","ARIP15"
"5% Dextrose","D5W3000"
"Etanercept",NULL
"Thiothixene","THIX1"
"Syringe (Sterile Water)","SW5SYR"
"Metformin XR","METF500XR"
"Morphine Sulfate","MORP10R"
"Aspirin 81 mg  or placebo","ASPI81INDP"
"Morphine Sulfate SR","MSCO100"
"Arthrotec 50",NULL
"Epoprostenol","EPOP5I"
"Emt","EMTR10L"
"Catapres","CATA1"
"citrate","SODCIT3SYR"
"Hydrocortisone","HYDR10"
"Syringe (NS)","NS60SYR"
"Epoetin Alfa","EPO10I"
"vitamin","VITBC1"
"Aminophylline","AMPH500I"
"Triamcinolone Acetonide 0.025% Cream","TRIAM.025/15C"
"Indinavir Sulfate","INDI400"
"URSO Forte","URSO250"
"baclofen","BACL2000I"
"Labet","LABE100I"
"Valproic Acid","VALP250L"
"Procainamide","PROC250"
"SulfADIAzine","SULFA500"
"Acetaminophen ","ACET650L"
"Carbamazepine ER","CARB300ER"
"Anti-Thymocyte Globulin (Rabbit) Desensitization","ATGDESEN"
"DiCLOXacillin","DICL250"
"Soln.","MANNBASE"
"Travatan Z","LATA5OS"
"traMADOL","TRAM50"
"Magnesium Oxide","MAGN400"
"insulin","GLAR100I"
"Valproate Sodium","VAL250L"
"Benztropine Mesylate","BENZ1I"
"ASA","ASA325"
"tobramycin in 0.225 % NaCl","TOBR300H"
"NEO*PO*AcetaZOLAMIDE (20mg/1ml)","NEOACET2"
"Acetaminophen IV","ACET1000PB"
"HYDROmorphone (Dilaudid)","HYD25PCA"
"Isotonic Sodium Chloride","GENTBASE2"
"Campral","ACAM333"
